time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010525349642	166.78	30.221	3.55743	0.355218	-0.113117	lidar	2.39008	166.828	30.2062	166.809	30.0721	2.63006	1.22694
1477010525349642	166.78	30.221	3.55743	0.355218	-0.113117	radar	6.94911e-308	166.748	29.7121	166.809	30.0721	2.63006	1.22694
1477010526349642	169.132	31.3686	2.56956	0.391259	-0.0244528	lidar	1.55803	169.097	31.3717	169.452	31.2706	2.61238	1.15075
1477010526349642	169.132	31.3686	2.56956	0.391259	-0.0244528	radar	6.94911e-308	169.345	30.7063	169.452	31.2706	2.61238	1.15075
1477010527349642	172.148	32.3457	3.28835	0.267123	-0.0899498	lidar	0.834175	172.175	32.3404	172.079	32.3873	2.58945	1.06126
1477010527349642	172.148	32.3457	3.28835	0.267123	-0.0899498	radar	6.94911e-308	172.135	32.6666	172.079	32.3873	2.58945	1.06126
1477010528349642	174.665	33.4468	2.72504	0.380782	0.0336065	lidar	0.912939	174.643	33.4625	174.685	33.4095	2.56021	0.960341
1477010528349642	174.665	33.4468	2.72504	0.380782	0.0336065	radar	6.94911e-308	174.474	33.9157	174.685	33.4095	2.56021	0.960341
1477010529349642	177.031	34.2161	2.51058	0.318187	-0.0278828	lidar	0.193305	177.03	34.2009	177.261	34.3262	2.52363	0.850119
1477010529349642	177.031	34.2161	2.51058	0.318187	-0.0278828	radar	6.94911e-308	177.211	33.8467	177.261	34.3262	2.52363	0.850119
1477010530349642	180.118	35.1362	3.36742	0.268549	-0.039964	lidar	0.984672	180.145	35.1423	179.799	35.1289	2.47883	0.732949
1477010530349642	180.118	35.1362	3.36742	0.268549	-0.039964	radar	6.94911e-308	179.543	35.4767	179.799	35.1289	2.47883	0.732949
1477010531349642	182.624	35.7601	2.57955	0.223069	-0.043574	lidar	0.828821	182.599	35.753	182.292	35.8114	2.42515	0.611338
1477010531349642	182.624	35.7601	2.57955	0.223069	-0.043574	radar	6.94911e-308	182.047	36.2626	182.292	35.8114	2.42515	0.611338
1477010532349642	184.747	36.4968	2.24717	0.324226	0.0494014	lidar	0.447707	184.732	36.5155	184.73	36.37	2.36226	0.487877
1477010532349642	184.747	36.4968	2.24717	0.324226	0.0494014	radar	6.94911e-308	184.833	36.1451	184.73	36.37	2.36226	0.487877
1477010533349642	186.938	36.9625	2.27113	0.207722	-0.0509758	lidar	0.353993	186.946	36.9404	187.103	36.804	2.29017	0.365145
1477010533349642	186.938	36.9625	2.27113	0.207722	-0.0509758	radar	6.94911e-308	187.296	36.9375	187.103	36.804	2.29017	0.365145
1477010534349642	189.453	37.404	2.65097	0.145745	-0.0566745	lidar	0.193612	189.465	37.4052	189.401	37.1147	2.20928	0.245623
1477010534349642	189.453	37.404	2.65097	0.145745	-0.0566745	radar	6.94911e-308	189.738	36.951	189.401	37.1147	2.20928	0.245623
1477010535349642	191.745	37.5699	2.33089	0.0398906	-0.0859157	lidar	0.164309	191.735	37.5631	191.615	37.3064	2.12037	0.131591
1477010535349642	191.745	37.5699	2.33089	0.0398906	-0.0859157	radar	6.94911e-308	191.682	37.1147	191.615	37.3064	2.12037	0.131591
1477010536349642	193.49	37.2986	1.74173	-0.185358	-0.171467	lidar	0.714275	193.471	37.2789	193.738	37.3853	2.02462	0.0250452
1477010536349642	193.49	37.2986	1.74173	-0.185358	-0.171467	radar	6.94911e-308	193.555	37.4234	193.738	37.3853	2.02462	0.0250452
